trial_number,response,observed,intensity
0,NaN,1,1
1,NaN,1,0.75
2,NaN,1,1
3,NaN,1,0.75
4,NaN,1,1
5,NaN,1,0.75
6,NaN,1,1
7,NaN,1,0.75
8,NaN,1,1
9,NaN,1,0.75
10,NaN,1,0.75
11,NaN,1,1
12,NaN,1,0.75
13,NaN,1,1
14,NaN,0,0.25
15,NaN,1,1
16,NaN,1,1
17,NaN,1,0.75
18,NaN,0,0.25
19,NaN,1,1
20,NaN,1,1
21,NaN,1,0.75
22,0,0,0
23,1,1,0.75
24,1,1,1
25,1,1,0.75
26,0,1,1
27,1,1,1
28,1,1,1
29,1,1,0.75
30,0,0,0.25
31,0,0,0
32,1,0,0.25
33,0,0,0
34,1,0,0.25
35,1,0,0
36,1,0,0.25
37,0,0,0
38,1,0,0
39,1,0,0.25
40,1,0,0.25
41,0,0,0
42,0,1,1
43,0,0,0.25
44,0,1,0.75
45,0,0,0
46,0,0,0.25
47,0,0,0
48,0,0,0.25
49,1,0,0.25
50,0,0,0.25
51,0,0,0.25
52,1,0,0
53,1,0,0.25
54,1,0,0
55,0,0,0.25
56,1,1,0.75
57,1,0,0
58,0,0,0
59,0,0,0.25
60,0,1,1
61,0,1,0.75
62,1,1,0.75
63,0,1,1
64,1,1,0.75
65,0,1,1
66,1,1,0.75
67,1,1,1
68,1,1,0.75
69,0,1,0.75
70,1,1,1
71,1,0,0
72,1,1,1
73,1,1,0.75
74,1,1,1
75,1,0,0.25
76,1,1,1
77,0,1,0.75
78,1,1,0.75
79,1,1,1
80,1,1,0.75
81,1,0,0
82,1,1,1
83,0,1,0.75
84,1,1,1
85,0,1,0.75
86,1,1,0.75
87,1,1,1
88,1,1,0.75
89,1,1,1
90,0,1,0.75
91,1,0,0
92,0,0,0.25
93,1,1,1
94,1,0,0.25
95,0,0,0
96,1,1,1
97,1,0,0
98,0,1,0.75
99,1,0,0.25
100,1,1,0.75
101,1,1,1
102,1,1,0.75
103,0,1,1
104,0,1,1
105,0,1,0.75
106,1,1,0.75
107,1,1,0.75
108,0,1,1
109,1,1,0.75
110,1,1,0.75
111,1,0,0
112,1,1,1
113,1,1,0.75
114,0,0,0.25
115,0,1,1
116,NaN,1,0.75
117,0,0,0
118,0,1,0.75
119,0,1,1
120,0,1,0.75
121,0,0,0
122,1,0,0.25
123,1,1,1
124,0,1,1
125,0,1,0.75
126,1,1,1
127,0,1,0.75
128,0,1,0.75
129,0,0,0
130,1,1,0.75
131,0,1,1
132,0,1,0.75
133,0,1,1
134,1,1,0.75
135,0,1,1
136,1,0,0.25
137,0,1,1
138,0,1,1
139,0,1,1
140,0,0,0.25
141,1,1,0.75
142,0,1,1
143,0,1,0.75
144,1,0,0.25
145,1,1,0.75
146,0,1,1
147,1,1,0.75
148,0,0,0
149,0,1,0.75
150,1,0,0
151,1,0,0.25
152,1,0,0
153,0,0,0
154,1,0,0.25
155,1,0,0
156,0,0,0.25
157,0,0,0
158,1,0,0
159,1,0,0
160,0,1,0.75
161,0,0,0.25
162,0,0,0
163,0,0,0
164,1,1,0.75
165,1,0,0.25
166,0,0,0
167,0,1,0.75
168,1,0,0
169,1,0,0.25
170,1,1,1
171,1,0,0
172,0,1,0.75
173,1,0,0
174,1,0,0
175,1,1,0.75
176,0,0,0
177,0,0,0
178,1,0,0
179,0,0,0.25
180,1,1,1
181,0,0,0.25
182,1,0,0.25
183,0,0,0
184,1,0,0
185,1,1,0.75
186,1,0,0
187,0,0,0.25
188,0,0,0
189,0,0,0.25
190,0,0,0.25
191,0,0,0
192,1,1,1
193,1,0,0.25
194,0,1,1
195,1,0,0.25
196,1,0,0.25
197,1,0,0
198,1,0,0
199,0,0,0
