trial_number,response,observed,intensity
0,1,1,0.75
1,0,1,1
2,0,1,0.75
3,1,1,1
4,0,1,1
5,1,1,0.75
6,NaN,1,0.75
7,0,1,0.75
8,NaN,1,1
9,1,1,0.75
10,0,1,0.75
11,0,0,0
12,0,1,1
13,0,1,0.75
14,1,0,0.25
15,0,1,1
16,NaN,1,0.75
17,1,0,0
18,1,1,0.75
19,1,1,1
20,0,1,0.75
21,0,0,0
22,1,0,0.25
23,0,1,1
24,0,1,1
25,1,1,0.75
26,1,1,1
27,1,1,0.75
28,1,1,0.75
29,0,0,0
30,NaN,1,0.75
31,1,1,1
32,0,1,0.75
33,1,1,1
34,0,1,0.75
35,NaN,1,1
36,0,0,0.25
37,1,1,1
38,NaN,1,1
39,0,1,1
40,1,0,0.25
41,0,1,0.75
42,0,1,1
43,0,1,0.75
44,1,0,0.25
45,1,1,0.75
46,1,1,1
47,0,1,0.75
48,0,0,0
49,1,1,0.75
50,1,0,0
51,NaN,0,0.25
52,NaN,0,0
53,0,0,0
54,NaN,0,0.25
55,1,0,0
56,1,0,0.25
57,0,0,0
58,1,0,0
59,1,0,0
60,1,1,0.75
61,1,0,0.25
62,1,0,0
63,1,0,0
64,1,1,0.75
65,1,0,0.25
66,1,0,0
67,0,1,0.75
68,1,0,0
69,0,0,0.25
70,0,1,1
71,1,0,0
72,1,1,0.75
73,1,0,0
74,1,0,0
75,0,1,0.75
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0.25
80,1,1,1
81,1,0,0.25
82,0,0,0.25
83,1,0,0
84,0,0,0
85,NaN,1,0.75
86,1,0,0
87,1,0,0.25
88,0,0,0
89,0,0,0.25
90,1,0,0.25
91,1,0,0
92,NaN,1,1
93,0,0,0.25
94,NaN,1,1
95,0,0,0.25
96,1,0,0.25
97,1,0,0
98,0,0,0
99,1,0,0
100,0,1,0.75
101,NaN,0,0
102,NaN,0,0.25
103,NaN,1,1
104,NaN,0,0.25
105,1,0,0
106,0,1,1
107,NaN,0,0
108,1,1,0.75
109,0,0,0.25
110,0,1,1
111,0,1,0.75
112,NaN,1,1
113,0,1,0.75
114,1,1,1
115,NaN,1,0.75
116,1,1,1
117,0,1,0.75
118,0,1,1
119,1,1,0.75
120,0,1,0.75
121,1,1,1
122,NaN,1,0.75
123,1,1,1
124,1,0,0.25
125,0,1,1
126,1,1,1
127,NaN,1,0.75
128,0,0,0.25
129,1,1,1
130,0,1,1
131,1,1,0.75
132,1,0,0
133,0,1,0.75
134,0,1,1
135,0,1,0.75
136,1,1,1
137,1,1,1
138,1,1,1
139,0,1,0.75
140,0,0,0.25
141,1,0,0
142,1,0,0.25
143,1,0,0
144,1,0,0.25
145,0,0,0
146,0,0,0.25
147,0,0,0
148,1,0,0
149,1,0,0.25
150,0,0,0.25
151,NaN,0,0
152,0,1,1
153,0,0,0.25
154,0,1,0.75
155,1,0,0
156,0,0,0.25
157,1,0,0
158,0,0,0.25
159,1,0,0.25
160,1,0,0.25
161,0,0,0.25
162,0,0,0
163,1,0,0.25
164,1,0,0
165,0,0,0.25
166,1,1,0.75
167,0,0,0
168,1,0,0
169,0,0,0.25
170,1,1,1
171,0,1,0.75
172,0,1,0.75
173,1,1,1
174,1,1,0.75
175,0,1,1
176,1,1,0.75
177,0,1,1
178,NaN,1,0.75
179,1,1,0.75
180,0,1,1
181,1,0,0
182,0,1,1
183,1,1,0.75
184,1,1,1
185,0,0,0.25
186,0,1,1
187,0,1,0.75
188,0,1,0.75
189,0,1,1
190,0,1,0.75
191,1,0,0
192,1,1,1
193,0,1,0.75
194,0,1,1
195,1,1,0.75
196,0,1,0.75
197,0,1,1
198,0,1,0.75
199,1,1,1
